/pfs/rl-train/wenhaoli/miniconda3/envs/mirorl-v2-copy/lib/python3.12/site-packages/torch/distributed/distributed_c10d.py:4807: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user.
  warnings.warn(  # warn only once
Loading checkpoint shards: 100%|███████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [00:12<00:00,  4.24s/it]
RANK-0 training started !
/pfs/rl-train/wenhaoli/miniconda3/envs/mirorl-v2-copy/lib/python3.12/site-packages/torch/distributed/distributed_c10d.py:4807: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user.
  warnings.warn(  # warn only once
Loading checkpoint shards: 100%|███████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [00:04<00:00,  1.64s/it]
  0%|                                                                                                                                 | 0/16 [00:00<?, ?it/s]/pfs/rl-train/wenhaoli/spotlight/train.py:332: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  length = torch.tensor(length, dtype=torch.int64, device=local_rank)
100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 16/16 [01:15<00:00,  4.70s/it]
layer:     0 | step:     0 | loss: 0.804 | iou: 0.113
layer:     0 | step:     1 | loss: 0.800 | iou: 0.090
layer:     0 | step:     2 | loss: 0.799 | iou: 0.096
layer:     0 | step:     3 | loss: 0.787 | iou: 0.089
layer:     0 | step:     4 | loss: 0.783 | iou: 0.100
layer:     0 | step:     5 | loss: 0.786 | iou: 0.110
layer:     0 | step:     6 | loss: 0.783 | iou: 0.094
layer:     0 | step:     7 | loss: 0.780 | iou: 0.091
layer:     0 | step:     8 | loss: 0.780 | iou: 0.094
layer:     0 | step:     9 | loss: 0.765 | iou: 0.100
layer:     0 | step:    10 | loss: 0.767 | iou: 0.099
layer:     0 | step:    11 | loss: 0.769 | iou: 0.084
layer:     0 | step:    12 | loss: 0.762 | iou: 0.097
layer:     0 | step:    13 | loss: 0.761 | iou: 0.101
layer:     0 | step:    14 | loss: 0.755 | iou: 0.095
layer:     0 | step:    15 | loss: 0.754 | iou: 0.102
layer:     0 | step:    16 | loss: 0.752 | iou: 0.081
layer:     0 | step:    17 | loss: 0.746 | iou: 0.087
layer:     0 | step:    18 | loss: 0.753 | iou: 0.108
layer:     0 | step:    19 | loss: 0.745 | iou: 0.106
