/pfs/rl-train/wenhaoli/miniconda3/envs/mirorl-v2-copy/lib/python3.12/site-packages/torch/distributed/distributed_c10d.py:4807: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user.
  warnings.warn(  # warn only once
Skipping layer-0 because train results already exist.
Skipping layer-8 because train results already exist.
Skipping layer-16 because train results already exist.
Loading checkpoint shards: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [00:23<00:00,  7.98s/it]
RANK-0 training started !
/pfs/rl-train/wenhaoli/miniconda3/envs/mirorl-v2-copy/lib/python3.12/site-packages/torch/distributed/distributed_c10d.py:4807: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user.
  warnings.warn(  # warn only once
Loading checkpoint shards: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 3/3 [00:05<00:00,  1.85s/it]
  0%|                                                                                                                                                               | 0/8 [00:00<?, ?it/s]/pfs/rl-train/wenhaoli/spotlight/train.py:332: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  length = torch.tensor(length, dtype=torch.int64, device=local_rank)
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 8/8 [00:41<00:00,  5.21s/it]
layer:    24 | step:     0 | loss: 0.750 | iou: 0.124
layer:    24 | step:     1 | loss: 0.690 | iou: 0.110
layer:    24 | step:     2 | loss: 0.685 | iou: 0.115
layer:    24 | step:     3 | loss: 0.578 | iou: 0.127
layer:    24 | step:     4 | loss: 0.575 | iou: 0.129
layer:    24 | step:     5 | loss: 0.561 | iou: 0.140
layer:    24 | step:     6 | loss: 0.561 | iou: 0.132
layer:    24 | step:     7 | loss: 0.526 | iou: 0.166
layer:    24 | step:     8 | loss: 0.466 | iou: 0.176
layer:    24 | step:     9 | loss: 0.435 | iou: 0.177
layer:    24 | step:    10 | loss: 0.425 | iou: 0.177
layer:    24 | step:    11 | loss: 0.535 | iou: 0.120
layer:    24 | step:    12 | loss: 0.382 | iou: 0.193
layer:    24 | step:    13 | loss: 0.476 | iou: 0.145
layer:    24 | step:    14 | loss: 0.340 | iou: 0.208
layer:    24 | step:    15 | loss: 0.327 | iou: 0.248
layer:    24 | step:    16 | loss: 0.302 | iou: 0.243
layer:    24 | step:    17 | loss: 0.257 | iou: 0.296
layer:    24 | step:    18 | loss: 0.331 | iou: 0.240
layer:    24 | step:    19 | loss: 0.414 | iou: 0.151
layer:    24 | step:    20 | loss: 0.373 | iou: 0.156
layer:    24 | step:    21 | loss: 0.305 | iou: 0.198
layer:    24 | step:    22 | loss: 0.304 | iou: 0.219
layer:    24 | step:    23 | loss: 0.277 | iou: 0.222
layer:    24 | step:    24 | loss: 0.314 | iou: 0.209
layer:    24 | step:    25 | loss: 0.294 | iou: 0.263
layer:    24 | step:    26 | loss: 0.257 | iou: 0.292
layer:    24 | step:    27 | loss: 0.325 | iou: 0.220
layer:    24 | step:    28 | loss: 0.255 | iou: 0.302
layer:    24 | step:    29 | loss: 0.254 | iou: 0.284
layer:    24 | step:    30 | loss: 0.260 | iou: 0.274
layer:    24 | step:    31 | loss: 0.262 | iou: 0.296
layer:    24 | step:    32 | loss: 0.261 | iou: 0.212
layer:    24 | step:    33 | loss: 0.326 | iou: 0.261
layer:    24 | step:    34 | loss: 0.256 | iou: 0.269
layer:    24 | step:    35 | loss: 0.239 | iou: 0.272
layer:    24 | step:    36 | loss: 0.281 | iou: 0.216
layer:    24 | step:    37 | loss: 0.273 | iou: 0.213
layer:    24 | step:    38 | loss: 0.289 | iou: 0.212
layer:    24 | step:    39 | loss: 0.301 | iou: 0.213
layer:    24 | step:    40 | loss: 0.242 | iou: 0.316
layer:    24 | step:    41 | loss: 0.286 | iou: 0.280
layer:    24 | step:    42 | loss: 0.297 | iou: 0.266
layer:    24 | step:    43 | loss: 0.229 | iou: 0.326
layer:    24 | step:    44 | loss: 0.253 | iou: 0.271
layer:    24 | step:    45 | loss: 0.236 | iou: 0.317
layer:    24 | step:    46 | loss: 0.238 | iou: 0.275
layer:    24 | step:    47 | loss: 0.205 | iou: 0.297
layer:    24 | step:    48 | loss: 0.224 | iou: 0.307
